date,time,commit,violations
2015-11-09,12:13:03,408cefede3d596de1039e1c01b894c1d17b8bf87,2
2015-11-19,16:04:10,8626738895d6d35e5a8601f4486723740644a1a7,2
2015-11-24,11:52:04,fed780d8754c7fbad12366c87effb40985aacdca,2
2015-11-25,09:34:28,220abf44cb07a915fce5615e9d5a131124f10993,2
2015-11-25,10:28:24,53759d2704790b141853f7b61d5c9f07f093017b,2
2015-12-02,14:02:08,04bfacfb7abb420338ff4bbd98e20ad41d352aa1,2
2016-01-20,09:37:45,82316b4033f6c3d7930179e1397ec7f63f636ce4,-4
2016-01-20,09:47:45,c11f4e89aff54cff396a1a0f28b9c4416d20adab,2
2016-02-02,11:33:19,6e71595920b9f03f24bc6da659eafbebb824f065,2
2016-02-03,14:38:25,53c4903f9929ace05f388f1a9bac59aff35d9188,2
2016-02-10,15:51:09,33ddce3a9fbc3fe74c4895ba29bf52eb0d701737,2
2016-02-10,16:09:58,3e48d88aa95f14df4a812dae255ef0b12c4f9ff9,2
2016-02-10,16:33:34,5a5aba0e8b7c75f2d6c0a4a7114296c8b7236abb,2
2016-02-10,16:42:56,6fe1ccac4fbdd219db4f60d9f1da8905af2733bd,2
2016-02-10,17:00:11,7a6fe3733ce7cf82e51ad5877bba487cc4e02993,2
2016-02-11,12:21:25,2e40e30f13b505ef08a0ee2d534a2e25d24bc5ed,2
2016-02-16,12:14:07,27e13a309f5075aad1879e55aa9d2f4321475225,2
2016-02-16,14:52:29,722b8f1af2fb6ada423d6b35f5bf680edf215013,2
2016-02-16,15:59:31,d0de9ec35dfde98ad272de3a14db9f9abde9a11c,2
2016-02-18,11:15:42,eebbe64766412eff3e4d363623a8b9e15ba1ba63,2
2016-02-18,13:25:43,eb28b2808e5bab6b37fe1dcd1269fb26468722a1,2
2016-02-18,13:26:46,3ce8d996b25268c5d1718a05e564cecb1cb3fbca,2
2016-02-18,14:12:01,9e37841841ac8de0c80662d397a90859f63c473c,2
2016-02-18,14:42:09,32f2b457f30f08b86b8d9e395370c54054fd475d,-4
2016-02-18,14:42:38,3a4326b18718584593c855960e1a04fe35f21dfa,2
2016-02-23,18:42:55,660c7dbdf27f5aa63ad130c5ab89749b2801cef7,2
2016-02-24,10:19:40,fae77ebbf8fff040e00a35462be0813996e8dc38,2
2016-02-24,13:50:41,688b3f0955648f9c1a04598c367a15e6468e532e,2
2016-02-24,17:15:34,2eafa0840fd2d4f6dffd108228e42d6c7978896f,2
2016-03-03,12:52:34,5ab8ec1dcb8f57b436150c1757e32095ac71edf3,2
2016-03-03,13:57:20,308040cfed16d254d735f4fdf9d4578f2eb4bb7e,2
2016-03-07,14:56:17,e5d1b98d2c6f2b11897197a65ec8e4dcdc52c0da,2
2016-03-07,15:21:07,eb6d6593d15dcb7f7cd8b50e9a953c28a17b7521,2
2016-03-07,16:04:38,9cbdbc83c050ea2958d6c17679b587bba9831afd,2
2016-03-07,16:26:37,3dcad08240b3eaf4a556472fb8a7074c06eb2ac2,2
2016-03-07,18:42:30,6f895b1b2cd7d4ff989e453780b07a79b05273ce,2
2016-03-14,13:21:50,60c808d57a9dd65dcfd374280512529adfe97b02,2
2016-03-15,18:10:32,6c06af76b94169cf9cd238efcd7a162cb62214f9,2
2016-03-16,13:56:27,56192ad92c619dcf692b2b4d574438921ed43ff8,2
2016-03-16,18:01:32,a7350f4cb4182aa726948b4549ed2fe293ebd0dd,2
2016-03-16,18:24:05,883266d3bc020b2d7805bc03290a7854a08dfeaa,2
2016-03-17,11:39:47,46d9e668cea01bf7fa5db5a69333be64e7df1b7a,2
2016-03-17,16:36:54,c9212bcc8ed7be3bc874308652cc02d85d9ed081,2
2016-03-17,16:52:07,0bc08b48565f6113ad2e3fa7f460092f77f658ce,2
2016-03-17,17:10:09,990ea82025af79d84b2c91f6708d0db3f7f37f7b,2
2016-03-17,18:23:06,be8d4955e5683b9aa8110bdff4333e2fb57f18dc,2
2016-04-11,13:52:20,f3bd3cccbe2cdf1854e620ccffe8d65db4c032cf,2
2016-04-14,11:44:02,831e7435edc1fdddc65c8ab20a67ba10d1b12d3c,2
2016-05-11,14:00:02,adf5862f9e3594a461aa89e034228fb14ff7c845,2
2016-05-17,10:30:08,2c2a9b36fdd77bbea50c9d6b78224c45308cb9f9,2
2016-05-19,13:46:21,580c707aa4c5bc265c7d1cbf46d60a5ad45b10a4,2
2016-05-23,10:00:15,1a9017579fc8a64a45bcb4d65fe8f1e12e921a67,2
2016-05-25,14:41:44,dc423189be650b151eef452e0c41744a6457e903,2
2016-06-02,16:46:18,cdc66735ed7f7b9453e308829d745792c643f599,2
2016-06-21,11:21:41,941fb76d92d42eb9da6c24e8ecc24109698cf8ad,2
2016-08-16,13:08:24,396acd6fb6f8bdd9dc08c41c08ddc7a9eee1c37b,2
2016-12-14,13:54:24,ba0f8366cbd97fd575530c17e9f646fce71026f1,2
2016-12-20,18:29:04,eee6a63528187a454db09fd49f49ded64c56561c,2
2016-12-22,14:42:00,e4f357f0d872c04c6726bf13ff9d91d608f85023,2
2017-02-09,11:22:10,edac3ef9f9796ac713d5c2df2758f01c222c3062,2
2017-02-09,15:42:15,38d6b9462358c319cc86596ab10950e6d41e1633,2
2017-03-23,17:18:42,e4639d623b08d434da408df18c8b0546ab77e0bc,2
2017-05-04,14:49:36,79facdcfd039d009738280bdb09da9d365eb133f,2
2017-08-23,15:00:33,fe1c87b63724e47f320608b2e44dd9a0ba4902f3,2
2017-08-24,13:27:48,b853c172364370521c9f7d9486b039b03942e54b,2
2017-11-23,11:09:05,65cf28bb270becc227b2fb2b64bc357b2bf18aba,2
2017-11-27,09:17:09,49595a3735f7180d73dad8154b179c5c3ce39a66,2
2018-01-14,12:22:29,5d40e4af1f7be5f3f7cb71b772d5e14da6914e61,2
2018-01-14,12:40:11,d34f767e948d9d89e3189fbf78e0aaac04c71845,2
2018-04-05,08:29:40,a5c352999b4d4c4d42dc006f19e389c2e98e1897,2
2018-04-05,09:40:23,de1029327ee00df6c21f93078acd8bb88a4c6049,2
2018-08-09,11:35:50,bf1a2272e94e309543efd5812a6cfc54d754f007,2
2019-01-16,10:48:52,c4d4bf2b950c017bc0047afa2b3d02e7b73018ff,2
2019-01-16,11:10:56,3564a1df022b7357873ed4b750f15fd58286e4b3,2
2019-01-17,15:49:15,0385a0a372e50ca9dc31340339520eb051623017,2
2019-03-05,10:11:07,47a7b99b3767279ec93c7f0d60dea43f4b588f8d,2
2019-03-13,12:41:38,e98dc1d146102fd58807cef21b6d1963c8bd75ca,2
2019-03-13,14:36:40,12420502be08aceeb7ff73dd2cb32d8281ec11ce,2
2019-03-13,15:55:59,e16f965427e920577687414229c92b81641a9108,2
2019-03-19,13:37:56,076b7777fafc3df4dc107655806dd915ad96e5d1,2
2019-03-19,15:34:20,457edeae3079af0cb85175a42ff9cb4886bfdb95,2
2019-03-20,11:11:10,dbb938b5a42b0e3b2640231ac4e1a4e70dc099ef,2
2019-03-20,14:22:24,2bae280afec2e6eb8242e20aa8e34ee4bc87f39a,2
2019-03-20,16:12:25,7dbdeb1edef342f4a845788326a180374ffac01b,2
